X,A
300.0,25.985466977038115
303.7037037037037,25.804976204766554
307.4074074074074,25.45960531779652
311.1111111111111,25.00607729206626
314.81481481481484,24.645378324970974
318.51851851851853,24.119598873072682
322.22222222222223,23.6140362170249
325.9259259259259,23.174534742860665
329.6296296296296,23.087088071699238
333.3333333333333,23.03013305364054
337.03703703703707,23.083581966846413
340.74074074074076,23.274519459395073
344.44444444444446,23.49620150303864
348.14814814814815,23.804376703566003
351.85185185185185,23.99621419492947
355.55555555555554,24.00612947707084
359.25925925925924,24.00005896840383
362.96296296296293,23.944249779386237
366.6666666666667,24.039944789514188
370.3703703703704,23.991980295555052
374.0740740740741,23.99596720117103
377.77777777777777,23.974426027925446
381.48148148148147,24.050251076563146
385.1851851851852,24.211941557196354
388.8888888888889,24.58386611721352
392.5925925925926,24.603169723763976
396.2962962962963,24.75903689356212
400.0,24.925868526483743
403.7037037037037,25.05982921249023
407.4074074074074,25.159440985684473
411.1111111111111,25.28777124216054
414.8148148148148,25.135187022695717
418.51851851851853,25.057888114968588
422.22222222222223,24.764920557086782
425.9259259259259,24.588807596913576
429.6296296296296,24.447627854266493
433.33333333333337,24.36198832422495
437.03703703703707,24.024460356746157
440.74074074074076,23.828103607066936
444.44444444444446,23.75481220252943
448.14814814814815,23.911959401825126
451.85185185185185,24.15400710128078
455.55555555555554,24.336151365992666
459.25925925925924,24.608964626624555
462.96296296296293,25.28506217282538
466.66666666666663,26.031960145498914
470.3703703703704,26.703194173969504
474.0740740740741,27.158545857720874
477.77777777777777,27.372069667141574
481.4814814814815,27.679065864224228
485.1851851851852,27.841507162206927
488.8888888888889,27.76448245258168
492.5925925925926,27.71709058077679
496.2962962962963,27.473469589912565
500.0,27.293779720911726
503.7037037037037,27.371529011016396
507.4074074074074,27.318039154641234
511.1111111111111,27.441358464798324
514.8148148148148,27.829581493829846
518.5185185185185,28.138485351682544
522.2222222222222,28.543287023877983
525.9259259259259,28.819663933327668
529.6296296296296,28.584195065473356
533.3333333333334,28.565696668614198
537.0370370370371,28.47338650440709
540.7407407407408,28.389102294721372
544.4444444444445,28.36000545096573
548.1481481481482,28.269261722278717
551.8518518518518,28.310808965587153
555.5555555555555,28.6869997140105
559.2592592592592,29.0087317496826
562.962962962963,29.521751538117947
566.6666666666667,30.023465137772085
570.3703703703704,30.38769109864406
574.0740740740741,30.927125909925856
577.7777777777778,31.336834819622016
581.4814814814815,31.67949086414658
